FID,wkb_geometry,pk_class,pk_code,dc_id,construction_and_technical_condition,longitude,latitude,height,construction_type,material,standard_load_capacity_per_t,exclusive_load_capacity_per_t,exceptional_load_capacity_per_t,method_of_determination,subject_of_bridging,section_owner,section_manager,district,section_id,section_station_of_beginning_dc_m,kilometer_station_of_beginning_dc_km,cumulative_starting_station_dc_km
bridges_dc.1,POINT (48.484481716 20.36517456),cesta I. triedy,16,M449.01,Veľmi dobrý,20.3651745600,48.4844817160,200.231249,dosková,prefabrikovaný predpätý betón,50,110,420,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,324538,229,118,118
bridges_dc.2,POINT (48.49725994 20.373420948),cesta I. triedy,16,M2863.01,Dobrý,20.3734209480,48.4972599400,197.423999,trámová,monolitický železobetón,18,41,141,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,324541,23,120,119
bridges_dc.3,POINT (48.512428489 20.381660139),cesta I. triedy,16,M1895.01,Veľmi zlý,20.3816601390,48.5124284890,203.366750,trámová,monolitický železobetón,16,47,99,statický výpočet,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4582,7,122,121
bridges_dc.4,POINT (48.523230896 20.385598243),cesta I. triedy,16,M3363.01,Veľmi dobrý,20.3855982430,48.5232308960,209.716000,dosková,monolitický železobetón,23,68,385,podľa tabuliek,Vodný tok,STAT,SSC - IVSC KE,Rožňava,4581,658,123,123
bridges_dc.5,POINT (48.560564851 20.444419175),cesta I. triedy,16,M3948.01,Zlý,20.4444191750,48.5605648510,226.788750,trámová,monolitický železobetón,29,74,182,odhadom,Vodný tok,STAT,SSC - IVSC KE,Rožňava,324450,128,130,130
bridges_dc.6,POINT (48.572202238 20.46046136),cesta I. triedy,16,M1714.01,Uspokojivý,20.4604613600,48.5722022380,240.738249,dosková,prefabrikovaný predpätý betón,31,92,143,statický výpočet,Železnica,STAT,SSC - IVSC KE,Rožňava,687804,75,132,131
bridges_dc.7,POINT (48.57431132 20.460893958),cesta I. triedy,16,M4532.01,Veľmi dobrý,20.4608939580,48.5743113200,238.578750,dosková,prefabrikovaný predpätý betón,30,88,194,statický výpočet,Železnica,STAT,SSC - IVSC KE,Rožňava,325857,46,132,132
bridges_dc.8,POINT (48.585089661 20.464908046),cesta I. triedy,16,M6897.01,Dobrý,20.4649080460,48.5850896610,247.031250,dosková,prefabrikovaný predpätý betón,30,86,182,statický výpočet,Účelová komunikácia,STAT,SSC - IVSC KE,Rožňava,689005,300,133,133
bridges_dc.9,POINT (48.621558051 20.493959149),cesta I. triedy,16,M5680.01,Dobrý,20.4939591490,48.6215580510,257.229500,trámová,prefabrikovaný železobetón,32,80,196,projektovaná,Vodný tok,NDS,NDS - SSUR KE,Rožňava,4556,475,138,138
bridges_dc.10,POINT (48.623146464 20.496227434),cesta I. triedy,16,M7091.01,Dobrý,20.4962274340,48.6231464640,259.909499,trámová,prefabrikovaný železobetón,32,80,196,projektovaná,Účelová komunikácia,NDS,NDS - SSUR KE,Rožňava,4556,716,138,138
